question,answer,intent,context
Jika pasangan suami dan istri sudah mendaftar haji sejak sebelum menikah dengan domisili berbeda. Apakah bisa mengajukan penggabungan agar dapat berangkat pada tahun yang sama?,"Ketentuan untuk mengajukan penggabungan jemaah haji suami/istri dan anak kandung/orang tua, adalah sebagai berikut:

Memiliki hubungan keluarga yang dibuktikan dengan akta nikah (untuk suami/istri), akta kelahiran atau akte keluarga (untuk anak/orang tua kandung) serta calon jemaah Haji bisa menunjukkan aslinya
Salah satu calon jemaah Haji (misal: suami) sudah melakukan pelunasan BPIH tahap pertama atau lunas pada tahun sebelumnya
Calon jemaah Haji yang lainnya (misal: istri) sudah terdaftar dan mendapat nomor porsi 2 tahun sebelumnya. Misal: untuk tahun keberangkatan tahun 2018, maka calon jemaah haji yang akan mengajukan percepatan untuk penggabungan harus sudah terdaftar sebelum 1 Januari 2016.
Kedua calon jemaah Haji penggabungan terdaftar dalam provinsi yang sama
Calon jemaah membuat surat permohonan penggabungan dan melengkapinya dengan dokumen: Fotocopy KTP, KK, Akta Lahir, Akta Nikah, Passpor (jika ada), SPPH, tanda bukti setoran pelunasan BPIH.
Segala ketentuan mengenai pendaftaran haji, keberangkatan dan lain-lain terkait penyelenggaraan haji merupakan wewenang Kemenag dan mungkin terjadi perubahan sesuai keputusan Kemenag.",Haji,Pengajuan penggabungan berangkat haji
"Jika seorang jemaah telah berhasil mendaftar haji, kemudian calon jemaah tersebut pindah alamat. Apakah jemaah tersebut berangkat dari embarkasi sesuai kartu identitas lama atau sesuai kartu identitas baru?","Ketika berhasil mendaftarkan haji dan mendapat nomor porsi, calon jemaah tersebut sudah terdaftar sebagai calon jamah pada propinsi sesuai kartu identitasnya. Sehingga ketika jemaah pindah alamat dan mengganti kartu identitas, calon jemaah tetap terdaftar pada wilayah sesuai kartu identitas yang semula.",Haji,Kartu identitas baru
Jika pada tahun keberangkatan calon jemaah jatuh sakit bagaimana? Apakah keberangkatan bisa ditunda?,"Calon jemaah dapat mengajukan penundaan haji dengan membuat surat kepada Kepala Kementerian Agama Kab/Kota disertai alasan kuat penundaan. Penundaan hanya dapat dilakukan 2 (dua) kali musim haji.

Segala ketentuan mengenai pendaftaran haji, keberangkatan dan lain-lain terkait penyelenggaraan haji merupakan wewenang Kemenag dan mungkin terjadi perubahan sesuai keputusan Kemenag.",Haji,Keberangkatan bisa ditunda
"Jika sebelum waktu keberangkatan, calon jemaah tutup usia bagaimana?","Dapat diajukan calon jemaah haji pengganti atau pengembalian BPIH kepada ahli waris.

Untuk pengajuan calon jemaah haji pengganti, ketentuannya sebagai berikut:

Calon jemaah haji yang meninggal sebelum keberangkatan bisa diganti oleh keluarganya dengan syarat telah masuk dalam daftar berhak melunasi BPIH tahun berjalan.
Calon jemaah haji pengganti harus mengajukan surat permohonan tertulis ke Kantor Kemenag Kabupaten / Kota setempat dengan melampirkan dokumen yang dibutuhkan.
Calon jemaah haji yang dapat menjadi pengganti adalah suami/istri/anak kandung/menantu. Pengajuan penggantian harus diketahui oleh RT, RW, Lurah dan Camat.
Calon jemaah haji pengganti dapat diberangkatkan musim haji tahun berjalan atau tahun berikutnya
Kelengkapan dokumen pengajuan, antara lain:
Akta kematian asli dari dinas Dukcapil setempat atau surat kematian dari kelurahan/desa diketahui Camat
Surat Kuasa asli penunjukan pelimpahan nomor porsi jemaah meninggal yang di tandatangani anak kandung, suami/istri dan menantu yang diketahui RT, RW, Lurah dan Camat
Surat keterangan tanggung jawab mutlak asli yang ditandatangani calon jemaah haji penerima pelimpahan nomor porsi bermeterai
Bukti setoran awal dan/atau setoran lunas BPIH asli
Salinan KTP, KK, Akta Kelahiran/Surat Kenal Lahir atau bukti lain yang relevan dengan dilegalisir dan distempel basah oleh pejabat yang berwenang.
Pembatalan pendaftaran jemaah haji dilakukan di Kantor Kemenag Kab/ Kota dengan membawa persyaratan:

Surat permohonan pembatalan bermaterai Rp. 6,000;
Bukti asli setoran awal BPIH;
Asli Aplikasi transfer setoran awal BPIH;
Fotokopi buku tabungan yang masih aktif;
Fotokopi KTP dan memperlihatkan aslinya;
Mencantumkan nomor telepon yang bisa dihubungi;
Untuk pengajuan pembatalan bagi jemaah yang meninggal dunia, maka surat permohonan pembatalan mencantumkan rekening ahli waris yang akan dijadikan tujuan transfer dana pengembalian BPIH (diutamakan rekening harus di BPS yang sama dengan jemaah wafat) serta melengkapi dokumen:

berkas-berkas kematian jemaah,
surat keterangan waris dari lurah/kades yang diketahui camat,
surat kuasa waris, dan
surat keterangan pertangggungjawaban mutlak dari kuasa waris.
berdasarkan dokumen2 tersebut terlebih dahulu Kemenag akan memverifikasi. Berdasarkan pengajuan pembatalan, Kemenag akan mengeluarkan Surat Pembatalan.
Setelah Bank menerima Surat Pembatalan, Bank melakukan koordinasi dengan Kemenag untuk tindak lanjut proses pembatalan yang akan diteruskan ke BPKH, lalu Bank menerima informasi dari BPKH untuk pengambilan Surat Instruksi Pendebetan Rekening.

Bank melakukan pendebetan rekening sesuai Surat Instruksi Pendebetan Rekening, lalu melakukan proses pemindahbukuan transaksi dari rekening BPKH ke rekening tabungan jemaah haji/ahli waris. Pengembalian terhadap ahli waris mengikuti ketentuan hukum berlaku.

Segala ketentuan mengenai pendaftaran haji, keberangkatan dan lain-lain terkait penyelenggaraan haji merupakan wewenang Kemenag dan mungkin terjadi perubahan sesuai keputusan Kemenag.",Haji,Tutup usia bagaimana
Jika suami dan istri atau orang tua dan anak daftar bersamaan ke Kantor Kemenag apakah dapat dipastikan akan berangkat haji pada tahun yang sama?,"Agar suami istri atau keluarga bisa berangkat haji bersama-sama dalam satu kloter, maka :

pembayaran setoran awal BPIH di Bank harus dilakukan bersamaan untuk menghindari terjadinya perbedaan waktu yang signifikan karena adanya pembatasan kuota.
pendaftaran haji ke Kemenag dilakukan bersamaan agar mendapatkan nomor porsi haji yang berurutan antara suami, istri atau keluarga
dalam kondisi khusus, misal ada anggota keluarga telah berusia > 75 tahun, dapat mengajukan pemberangkatan ibadah haji lebih awal ke Kemenag dan salah satu anggota keluarga dapat diajukan untuk berangkat bersama lebih awal dari jadwal untuk mendampingi.

Segala ketentuan mengenai pendaftaran haji, keberangkatan dan lain-lain terkait penyelenggaraan haji merupakan wewenang Kemenag dan mungkin terjadi perubahan sesuai keputusan Kemenag.",Haji,Tahun yang sama
"Jika sudah melakukan setoran awal melalui BPS lain dan sudah mendapat nomor porsi dari Kemenag, apakah bisa dipindahkan ke Bank Syariah lainnya?","Pembayaran setoran awal dan setoran pelunasan BPIH harus pada Bank yang sama, kecuali Bank penerima setoran awal tidak lagi beroperasi atau tidak lagi ditunjuk sebagai BPS BPIH",Haji,Memindahkan akun ke Bank syariah lain
"Jika alamat KTP dan alamat tempat tinggal berbeda, maka pendaftaran Haji dilakukan di Kantor Kemenag sesuai alamat yang mana?",Pendaftaran Haji dilakukan di Kantor Kemenag sesuai alamat KTP.,Haji,Alamat yang digunakan
Kapan BPIH dapat dilunasi?,Calon jemaah dapat melunasi BPIH setelah nomor porsinya diumumkan termasuk dalam daftar yang berhak berangkat. Jadwal pelunasan akan diumumkan oleh Pemerintah.,Haji,BPIH dapat dilunasi
Kenapa setoran awal jumlahnya cukup besar mencapai Rp 25 juta?,"Setoran awal BPIH merupakan salah satu cara Pemerintah untuk memastikan komitmen masyarakat yang mendaftarkan diri menjadi calon jemaah haji. Dengan kepastian dan komitmen itu, penyelenggaraan ibadah haji dapat berjalan baik.

Besaran yang terlalu rendah akan memudahkan masyarakat untuk mendaftar dan membatalkan komitmennya. Hal ini akan berdampak pada penyelenggraan ibadah haji secara keseluruhan. Besaran yang terlalu rendah juga dapat memperpanjang daftar tunggu yang berpotensi menimbulkan ketidakpastian. Sementara dalam penyelenggaraan ibadah haji diperlukan perencanaan dan pengelolaan yang transparan dan akuntabel.",Haji,Setoran awal haji Rp 25 juta
Apa ada nilai minimal untuk setoran haji?,"Ya, peraturan pemerintah masih menetapkan minimal Rp 25 Juta sebagai setoran awal yntuk mendapatkan kuota porsi kursi berangkat ibadah Haji",Haji,Setoran awal haji Rp 25 juta
"tentang ibadah haji, apakah kami bisa mendaftar di Bank Syariah?",Bank syariah memiliki Dewan Pengawas Syariah yang memastikan semua produk dan layanan sesuai dengan prinsip syariah1. Dimana ada Produk Tab Haji yang memungkinkan nasabah menyimpan dananya,Haji,MendaftarTabungan Haji
"Mengapa ketika mendaftar, calon jemaah tidak dapat langsung berangkat ke tanah suci untuk menjalankan ibadah haji?","Karena kuota haji yang terbatas maka pendaftaran dan pemberangkatan jemaah ibadah haji menggunakan konsep first come first serve, sehingga jemaah yang baru mendaftar akan dimasukkan ke dalam daftar tunggu/waiting list hingga nomor porsi yang dimiliki jemaah tersebut masuk dalam alokasi porsi propinsi yang berhak berangkat pada tahun penyelenggaraan.",Haji,Menjalankan ibadah haji
Mengapa nasabah harus segera mendaftar ke Kemenag selambat-lambatnya 5 hari kerja setelah melakukan setoran?,"Berdasarkan himbauan dari Kemenag untuk mendaftar maksimal 5 hari kerja setelah melakukan setoran, karena jika lewat dari 5 hari kerja, maka Kemenag membutuhkan proses pendaftaran nasabah yang lebih lama.",Haji,Pendaftaran haji setelah setoran
ada info tentang berdirinya Bank Pembiayaan Rakyat Syariah HIK Parahyangan?,"PT. BPRS HIK Parahyangan merupakan BPR Syariah Hasil akuisisi dari BPRS TOAT (yang didirikan tahun 1994 oleh K. H. Anom Mubarok, BA) proses akuisisi 2006 merupakan tonggak berdirinya BPRS HIK Parahyangan. PT. BPRS HIK Parahyangan mulai efektif beroperasi pada bulan September 2006. Berkedudukan di Jl. Percobaan No. 1 Cileunyi - Kab.Bandung. Sesuai dengan Visi PT.BPRS HIK Parahyangan, perkembangan bisnis strategi terus ditingkatkan sehingga memantapkan PT. BPRS HIK Parahyangan menjadi salah satu PT. BPRS terbaik di Indonesia. https://www.hikparahyangan.co.id/tentang-kami",History,BPRS HIK Parahyangan 
Kapan HIK Parahyangan berdiri?,"Sejarah berdirinya adalah merupakan BPR Syariah Hasil akuisisi dari BPRS TOAT (yang didirikan tahun 1994 oleh K. H. Anom Mubarok, BA) proses akuisisi 2006 merupakan tonggak berdirinya BPRS HIK Parahyangan. PT. BPRS HIK Parahyangan mulai efektif beroperasi pada bulan September 2006. Berkedudukan di Jl. Percobaan No. 1 Cileunyi - Kab.Bandung. Sesuai dengan Visi PT.BPRS HIK Parahyangan, perkembangan bisnis strategi terus ditingkatkan sehingga memantapkan PT. BPRS HIK Parahyangan menjadi salah satu PT. BPRS terbaik di Indonesia. https://www.hikparahyangan.co.id/tentang-kami",History,BPRS HIK Parahyangan 
"untuk membuka rekening tabungan syariah, berapakah dana yang perlu disetor? ",tergantung dari kebijakan dan produk pada masing-masing Bank Syariah. Setoran awal dimulai dari 0 - Rp 10 Juta,initial deposit,Setoran tabungan syariah
Bagaimana cara kerja asuransi syariah,Asuransi syariah menggunakan prinsip tolong-menolong (ta’awun) dan berbagi risiko (tabarru’)1.,Insurance Syariah,Kerja asuransi syariah
Apa itu akad Bai’ al-Dayn,Bai’ al-Dayn adalah akad jual beli utang di mana bank membeli utang dari nasabah dengan harga tertentu1.,Islamic Finance,Bai’ al-Dayn
Apa itu akad Bai’ al-Inah,Bai’ al-Inah adalah akad jual beli di mana bank menjual barang kepada nasabah dengan harga tertentu dan kemudian membeli kembali barang tersebut dengan harga lebih rendah1.,Islamic Finance,Bai’ al-Inah
Apa itu akad Bai’ al-Istijrar,Bai’ al-Istijrar adalah akad jual beli di mana barang diserahkan secara bertahap sesuai kebutuhan nasabah1.,Islamic Finance,Bai’ al-Istijrar
Apa itu akad Bai’ al-Istisna’,Bai’ al-Istisna’ adalah akad jual beli di mana barang dipesan terlebih dahulu dan dibuat sesuai spesifikasi yang disepakati1.,Islamic Finance,Bai’ al-Istisna’
Apa itu akad Bai’ al-Muqayadah,Bai’ al-Muqayadah adalah akad jual beli di mana barang ditukar dengan barang lain tanpa menggunakan uang1.,Islamic Finance,Bai’ al-Muqayadah
Apa itu akad Bai’ al-Murabaha,Bai’ al-Murabaha adalah akad jual beli di mana bank menjual barang kepada nasabah dengan margin keuntungan yang disepakati1.,Islamic Finance,Bai’ al-Murabaha
Apa itu akad Bai’ al-Salam,Bai’ al-Salam adalah akad jual beli di mana pembayaran dilakukan di muka dan barang diserahkan kemudian1.,Islamic Finance,Bai’ al-Salam
Apa itu akad Bai’ al-Sarf,Bai’ al-Sarf adalah akad jual beli mata uang di mana bank menukar mata uang dengan mata uang lain sesuai nilai tukar yang disepakati1.,Islamic Finance,Bai’ al-Sarf
Apa itu akad Bai’ al-Wafa,Bai’ al-Wafa adalah akad jual beli di mana penjual berjanji untuk membeli kembali barang yang dijual pada waktu tertentu1.,Islamic Finance,Bai’ al-Wafa
Apa itu akad Hawalah,Hawalah adalah akad pengalihan utang dari satu pihak ke pihak lain dengan persetujuan semua pihak yang terlibat1.,Islamic Finance,Hawalah
Apa itu akad Ijarah? ,"Ijarah adalah akad sewa, di mana bank menyewakan aset kepada nasabah dengan biaya sewa yang disepakati1.",Islamic Finance,Ijarah? 
Apa itu akad Istisna,Istisna adalah akad jual beli di mana barang dipesan terlebih dahulu dan dibuat sesuai spesifikasi yang disepakati1.,Islamic Finance,Istisna
Apa itu akad Ju’alah,Ju’alah adalah akad pemberian imbalan atas jasa atau pekerjaan yang dilakukan oleh pihak lain1.,Islamic Finance,Ju’alah
Apa itu akad Kafalah,Kafalah adalah akad penjaminan di mana satu pihak menjamin kewajiban pihak lain kepada pihak ketiga1.,Islamic Finance,Kafalah
Apa itu akad Mudharabah? ,"Mudharabah adalah akad kerjasama usaha di mana satu pihak menyediakan modal dan pihak lain mengelola usaha, dengan pembagian keuntungan sesuai kesepakatan1.",Islamic Finance,Mudharabah? 
Apa itu akad Murabahah? ,Murabaha adalah akad jual beli dengan margin keuntungan yang disepakati antara bank dan nasabah1.,Islamic Finance,Murabahah? 
Apakah yang dimaksud akad Murabahah? ,Akad Murabahah adalah akad jual beli dengan margin keuntungan yang disepakati antara bank dan nasabah1.,Islamic Finance,Murabahah? 
Apa itu akad Musaqah,Musaqah adalah akad kerjasama pertanian di mana satu pihak menyediakan lahan dan pihak lain mengelola tanaman dengan pembagian hasil panen1.,Islamic Finance,Musaqah
Apa itu akad Musyarakah,"Musyarakah adalah akad kerjasama di mana dua pihak atau lebih menyatukan modal untuk usaha bersama, dengan pembagian keuntungan sesuai kesepakatan1.",Islamic Finance,Musyarakah
Apa itu akad Muzara’ah,Muzara’ah adalah akad kerjasama pertanian di mana satu pihak menyediakan lahan dan pihak lain mengelola pertanian dengan pembagian hasil panen1.,Islamic Finance,Muzara’ah
Apa itu akad Qard,Akad Qard adalah pinjaman tanpa bunga yang diberikan oleh bank syariah kepada nasabah dengan kewajiban pengembalian pokok pinjaman saja1.,Islamic Finance,Qard
Apa itu akad Rahn,Rahn adalah akad gadai di mana nasabah menyerahkan barang sebagai jaminan atas pinjaman yang diberikan oleh bank syariah1.,Islamic Finance,Rahn
Apa itu akad Salam,Salam adalah akad jual beli di mana pembayaran dilakukan di muka dan barang diserahkan kemudian1.,Islamic Finance,Salam
Apa itu akad Wakalah,Wakalah adalah akad perwakilan di mana satu pihak memberikan kuasa kepada pihak lain untuk melakukan tindakan tertentu atas namanya1.,Islamic Finance,Wakalah
Apakah bank syariah hanya untuk Muslim? ,"Tidak, layanan dan produk bank syariah terbuka untuk semua orang, tidak terbatas hanya untuk Muslim1.",Islamic Finance,Bank Syariah Muslim
apakah non muslim bisa buka tabungan di Bank Syariah?,"Ya, teman-teman non muslim terbuka untuk mendapatkan layanan dan produk bank syariah. Karena Bank Syariah terbuka untuk semua orang, tidak terbatas hanya untuk Muslim1.",Islamic Finance,Bank Syariah Muslim
Apa kelebihan menggunakan Bank Syariah?,Kelebihan menggunakan Bank Syariah termasuk transaksi yang halal - produk yang sesuai syariah dan pengelolaan risiko yang baik.,Kelebihan,Informasi tentang manfaat Bank Syariah. 
Bagaimana Bank Syariah mengelola keuangan?,Bank Syariah mengelola keuangan dengan prinsip transparansi - akuntabilitas dan pengelolaan risiko yang baik.,Manajemen Keuangan,Informasi tentang strategi manajemen keuangan. 
Bagaimana Bank Syariah mengelola risiko operasional?,Bank Syariah mengelola risiko operasional dengan prinsip diversifikasi dan pengelolaan risiko yang hati-hati sesuai syariah.,Manajemen Risiko,Informasi tentang strategi manajemen risiko operasional. 
bisa infokan Misi BPRS HIK Parahyangan?,"Visi BPRS HIK Parahyangan. https://www.hikparahyangan.co.id/tentang-kami
1. Menjalankan usaha perbankan yang sehat yang amanah berdasarkan syariah islam.
2. Berperan aktif dalam pengembangan dan pertumbuhan dunia usaha.
3. Memberikan pelayanan yang profesional.
4. Meningkatkan kemakmuran pemegang saham dan karyawan serta kesejahteraan masyarakat.
5. Menjalankan misi dakwah yang ""rahmat`an lil alamin""",Misi,BPRS HIK Parahyangan 
berapa nisbah deposito bulan ini di HIK Parahyangan?,Nilai deposito dapat kamu lihat diinfo ini ya link nya https://www.hikparahyangan.co.id/keuangan-nisbah,Nisbah,BPRS HIK Parahyangan 
"Ya, apakah kamu bisa bantu saya?","Ok, kami akan bantu info tentang Sharia Banking ya",Options,Bantuan
Apa yang kamu bisa bantu informasi?,"Insya Allah, kami akan bantu info tentang Sharia Banking ya",Options,Bantuan
Bagaimana info yang kamu bisa bantu?,jadi kamiakan bantu kamu informasi sekitar Sharia Banking,Options,Bantuan
ada info untuk Informasi Pengaduan Nasabah?,"Ya, untuk Pengaduan Nasabah kamu bisa check disini https://www.hikparahyangan.co.id/pengaduannasabah jangan lupa mengisi Form Pengaduan ya",Pengaduan Nasabah,BPRS HIK Parahyangan 
Apa itu sukuk,"Sukuk adalah instrumen keuangan syariah yang setara dengan obligasi, tetapi sesuai dengan prinsip syariah1.",product difference,Sukuk Syariah
apakah perbedaan produk simpanan syariah dan konvensional?,"pengelolaan dana nasabah harus sesuai dengan prinsip syariah, misalnya, disalurkan hanya kepada kegiatan yang dinilai Halal.",product difference,Syariah dan konvensional
bagaimana info tentang kelembagaan atau profil dari BPRS HIK Parahyangan?,"PT. Bank Pembiayaan Rakyat Syariah Harta Insan Karimah Parahyangan (sebelumnya bernama PT Bank Perkreditan Rakyat Syariah Tolong Menolong Bermanfaat (BPRS TOAT) yang diubah nama menjadi PT. Bank Perkreditan Rakyat Syariah Harta Insan Karimah Parahyangan. PT BPRS TOAT didirikan tanggal 11 September 1993 dengan Akta No.26 Notaris Masri Husen, Sarjana Hukum di Bandung yang anggaran dasarnya telahdi umumkan dalam berita Negara Republik Indonesia tanggal 1 Oktober 1996 nomor 79 tambahan nomor 8444/1996, kemudian diubah tanggal 18 April 2001 melalui Akta No. 6 dari Notaris Masri Husen dan atas anggaran dasarnya telah mendapat pengesahan dari Menteri (Departemen) Kehakiman Republik Indonesia tanggal 25Oktober 2001 Nomor C.11469.HT.01.01 TH 2001. Perubahan Anggaran Dasar pasal 3 ayat 1, ayat 2 mengenai maksud serta tujuan perseroan, perubahan anggaran dasar pasal 4 atas modal dasar perseroan, telah diaktakan pada tanggal 3 Oktober 2006 melalui Akta Nomor 02 dari Notaris Hilda Sophia Wiradiredja, SH. Dan telah mendapat persetujuan melalui Keputusan Menteri Hukum dan Hak Asasi Manusia Republik Indonesia Nomor: W8-00180 HT.01.04-TH.2007 pada tanggal 19 Januari 2007, serta telah terlampir dalam Tambahan Berita Negara RI tanggal 13/4-2007 No. 30. Berdasarkan akta nomor 21 tanggal 27 Maret 2009 dari Notaris Hilda Sophia Wiradiredja, SH berisi tentang laporan pertanggung jawaban Direksi dan pembagian laba serta akta nomor 22 tanggal 27 Maret April 2009 dari notaris yang sama tentang perubahan Anggaran Dasar Perseroan dan perubahan nama dari PT. Bank Perkreditan Rakyat Harta Insan Karimah Parahyangan menjadi PT. Bank Pembiayaan Rakyat Syariah Harta Insan Karimah Parahyangan. https://www.hikparahyangan.co.id/tentang-kami",Profil Lembaga,BPRS HIK Parahyangan 
Bagaimana cara membuka rekening bisnis di Bank Syariah?,Nasabah dapat membuka rekening bisnis dengan mengunjungi cabang Bank Syariah dan memenuhi persyaratan yang ditentukan.,Prosedur,Informasi tentang proses pembukaan rekening bisnis. 
Bagaimana bank syariah memastikan kepatuhan syariah,Bank syariah memiliki Dewan Pengawas Syariah yang memastikan semua produk dan layanan sesuai dengan prinsip syariah1.,Risk Management,Memastikan kepatuhan syariah
Bagaimana bank syariah mengelola risiko,Bank syariah menerapkan manajemen risiko yang sesuai dengan prinsip syariah dan regulasi yang berlaku2.,Risk Management,Syariah mengelola risiko
Apa itu Dewan Pengawas Syariah?,"Dewan Pengawas Syariah (DPS) adalah lembaga yang memiliki peran strategis dalam mengawasi dan menjamin kepatuhan suatu lembaga keuangan terhadap prinsip-prinsip Syariah. Dalam konteks keuangan Syariah di Indonesia, DPS biasanya ditempatkan pada bank Syariah dan bank umum konvensional yang memiliki unit usaha Syariah.

DPS, sebagai bagian dari struktur tata kelola perusahaan, bertugas memberikan nasihat, saran, dan pengawasan terhadap kegiatan operasional lembaga keuangan Syariah. DPS dianggap sebagai wakil dari Dewan Syariah Nasional (DSN) dan diharapkan menjalankan fungsinya secara independen.

Adapun setiap persyaratan keanggotaan Dewan Pengawas Syariah diatur dalam DSN-MUI No. PER-01/DSN-MUI/X/2017 tentang Dewan Pengawas Syariah (DPS) di Lembaga Keuangan Syariah (LKS), Lembaga Bisnis Syariah (LBS), dan Lembaga Perekonomian Syariah (LPS).",Risk Management,Dewan Pengawas Syariah
Peran DPS dalam Industri Keuangan Syariah,"Dewan Pengawas Syariah (DPS) memiliki peran penting dalam memastikan keberlanjutan dan kepatuhan industri keuangan Syariah terhadap prinsip-prinsip Syariah. Berikut adalah beberapa peran utama DPS dalam industri keuangan Syariah:

1. Pengawasan Kepatuhan Syariah
DPS berfungsi sebagai pengawas utama terhadap kepatuhan lembaga keuangan Syariah terhadap prinsip-prinsip Syariah. Hal ini mencakup memastikan bahwa setiap kebijakan, produk, dan layanan keuangan yang ditawarkan sesuai dengan ketentuan Syariah yang berlaku.

DPS bertanggung jawab untuk memitigasi risiko ketidakpatuhan dan menjaga agar semua operasional lembaga keuangan Syariah tetap sesuai dengan ajaran Islam.

2. Pemberian Rekomendasi untuk Pengembangan Produk dan Layanan
DPS tidak hanya berfokus pada pengawasan, tetapi juga memberikan rekomendasi terkait pengembangan produk dan layanan baru. Dengan memahami prinsip-prinsip Syariah dan tren pasar, DPS dapat memberikan masukan berharga kepada manajemen perusahaan terkait dengan inovasi produk dan layanan yang sesuai dengan nilai-nilai Syariah. Hal ini membantu lembaga keuangan Syariah untuk tetap kompetitif di pasar.

3. Penasihat Strategis untuk Manajemen Perusahaan
Sebagai penasihat strategis, DPS memiliki peran dalam memberikan nasihat kepada manajemen perusahaan terkait dengan strategi bisnis dan kebijakan. DPS membantu memastikan bahwa setiap keputusan yang diambil oleh manajemen selaras dengan prinsip-prinsip Syariah dan tidak melanggar ketentuan yang telah ditetapkan.

Dengan memberikan pandangan Syariah, DPS berkontribusi pada pembentukan kebijakan yang berkelanjutan dan etis.

4. Penyelesaian Sengketa Berbasis Syariah
DPS memiliki peran mediasi dalam menyelesaikan sengketa yang mungkin timbul antara lembaga keuangan Syariah, nasabah, atau pihak terkait. DPS berusaha mencapai penyelesaian yang sesuai dengan prinsip-prinsip Syariah, menjaga keadilan dan keadilan dalam setiap penyelesaian sengketa.

Proses mediasi DPS membantu menjaga reputasi lembaga keuangan Syariah dan memperkuat hubungan dengan nasabah.

5. Konsultasi dengan Dewan Syariah Nasional (DSN)
Sebagai perwakilan dari DSN, DPS memiliki tanggung jawab untuk berkonsultasi dan berkomunikasi secara reguler. DPS memberikan masukan kepada DSN terkait perkembangan industri keuangan Syariah dan mengajukan pertanyaan terkait fatwa atau panduan tambahan.

Kerja sama erat ini membantu menjaga konsistensi dan integritas prinsip-prinsip Syariah dalam industri.

6. Pelaporan dan Keterbukaan
DPS memiliki kewajiban untuk melaporkan hasil pengawasannya secara berkala kepada berbagai pihak, termasuk manajemen perusahaan, Dewan Komisaris, DSN, dan regulator. Keterbukaan ini memberikan transparansi terhadap kepatuhan lembaga keuangan Syariah terhadap prinsip-prinsip Syariah dan membangun kepercayaan masyarakat.",Risk Management,Industri Keuangan Syariah
Tugas-Tugas Dewan Pengawas Syariah,"Di bawah ini adalah beberapa tugas utama dari Dewan Pengawas Syariah, yaitu:

1. Menetapkan Kebijakan dan Prosedur untuk Memastikan Kepatuhan terhadap Prinsip Syariah
DPS memiliki tanggung jawab utama dalam menetapkan kebijakan dan prosedur yang berfungsi sebagai panduan bagi lembaga keuangan Syariah. Kebijakan ini mencakup segala aspek operasional, investasi, dan pelayanan keuangan agar selaras dengan prinsip-prinsip Syariah yang telah difatwakan.

DPS juga bertugas memastikan bahwa setiap kebijakan yang diimplementasikan sesuai dengan panduan tersebut.

2. Meninjau Produk dan Layanan Keuangan untuk Memastikan Kesesuaian dengan Prinsip Syariah
DPS aktif terlibat dalam proses peninjauan setiap produk dan layanan keuangan yang ditawarkan oleh lembaga keuangan Syariah. Peninjauan ini dilakukan untuk memastikan bahwa setiap produk dan layanan tersebut tidak melanggar prinsip-prinsip Syariah, termasuk menghindari unsur riba, maisir, dan gharar.

DPS akan memberikan evaluasi terhadap kepatuhan produk dan layanan tersebut sesuai dengan ketentuan Syariah yang berlaku.

3. Memberikan Nasihat dan Rekomendasi kepada Manajemen Perusahaan
Sebagai penasihat, DPS memiliki peran penting dalam memberikan nasihat dan rekomendasi kepada manajemen perusahaan. Nasihat ini meliputi aspek-aspek yang berkaitan dengan implementasi prinsip Syariah dalam kebijakan perusahaan, strategi bisnis, dan kegiatan operasional.

DPS berfungsi sebagai mitra strategis yang membantu memastikan bahwa keputusan manajemen selaras dengan nilai-nilai Syariah dan tidak melanggar prinsip-prinsip yang telah ditetapkan.

4. Menyelesaikan Sengketa antara Perusahaan dan Nasabah Terkait Prinsip Syariah
DPS memiliki peran mediasi yang sangat vital dalam menyelesaikan sengketa antara perusahaan dan nasabah yang terkait dengan prinsip Syariah. Ketika terjadi ketidaksepakatan terkait transaksi atau layanan keuangan yang dianggap melanggar prinsip Syariah, DPS akan menjadi penengah yang objektif untuk mencapai penyelesaian yang adil dan sesuai dengan nilai-nilai Syariah.

Proses mediasi ini membantu mempertahankan kepercayaan antara lembaga keuangan Syariah dan nasabahnya.

Melalui keempat tugas ini, DPS menjadi garda terdepan dalam menjaga integritas lembaga keuangan Syariah, memastikan kepatuhan terhadap prinsip-prinsip Syariah, dan menciptakan lingkungan keuangan yang adil dan transparan.",Risk Management,Tugas Dewan Pengawas Syariah
Bagaimana cara kerja tabungan syariah? ,"Tabungan syariah menggunakan sistem bagi hasil, di mana nasabah menerima keuntungan berdasarkan hasil investasi bank1.",Saving,Kerja tabungan syariah
Apakah nisbah pada tabungan syariah,"Nisbah adalah skema bagi hasil yang biasanya berbentuk persentase antara pihak bank dan nasabah, proporsi persentase ini pun telah ditentukan dalam akad yang disepakati kedua belah pihak. Sebagai contoh, bank syariah menawarkan bagi hasil tabungan syariah kepada nasabah dengan persentase 65:35. Maksud dari persentase ini yaitu pihak nasabah akan mendapatkan bagi hasil senilai 65% dari return investasi yang dihasilkan oleh bank syariah, sedangkan pihak bank sendiri akan mendapatkan porsi bagi hasil sekitar 35%.

Namun, jika dalam akad tidak ada penjelasan besaran persentase masing-masih pihak, maka biasanya persentase pembagian menjadi 50:50. Lantas, bagaimana jika terjadi perubahan nisbah? Maka kedua belah pihak harus melakukan kesepakatan bersama.",Tabungan Syariah,Inquiry about types of profit-sharing ratios in Islamic banking
